Year,World_Poverty
1981,44.00
1982,43.40
1983,42.50
1984,41.10
1985,39.70
1986,38.30
1987,37.50
1988,35.70
1989,38.20
1990,37.90
1991,37.40
1992,36.60
1993,36.10
1994,34.20
1995,32.50
1996,31.00
1997,30.80
1998,31.10
1999,30.20
2000,29.30
2001,28.30
2002,26.80
2003,25.30
2004,23.30
2005,21.50
2006,20.50
2007,19.20
2008,18.30
2009,17.40
2010,15.70
2011,13.90
2012,12.90
2013,11.50
2014,11.00
2015,10.50
2016,10.20
2017,9.40
2018,8.70
2019,8.80
2020,9.70
2021,9.50
2022,9.00
